path,GEOID,State,STATEFIP,PUMA,Name,url,Overeducation,Ind,Nativity,,
1,100100,Alabama,1,100,"Lauderdale, Colbert & Franklin Counties PUMA",https://www.google.com/maps/d/edit?mid=1yH7Xybpcxrxy_BVhNUQM-KSbapGMeDg&ll=sharing,0.010968172,0,0,,
2,100200,Alabama,1,200,Limestone County PUMA,https://www.google.com/maps/d/edit?mid=1s3Cnw1gKSScWyh7JwVfuTGWrS4mxGDI&ll=sharing,0.010525607,0,0,,
3,100300,Alabama,1,300,Morgan & Lawrence Counties--Decatur City PUMA,https://www.google.com/maps/d/edit?mid=1hnvtpxmZIqfjNck6oIVRHZhxX8HszLs&ll=sharing,0.012136818,0,0,,
4,100401,Alabama,1,401,Madison County (North & East)--Huntsville City (East) PUMA,https://www.google.com/maps/d/edit?mid=1GzUVIJ14xvKLTIHB_uWc9g6yVe4XRi8&ll=sharing,0.007557978,0,0,,
5,100402,Alabama,1,402,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",https://www.google.com/maps/d/edit?mid=1WQRJOJX-U5LEPW9iw4L6J5E9-8AA0IY&ll=sharing,0.008892716,0,0,,
6,100403,Alabama,1,403,Huntsville City (Central & South) PUMA,https://www.google.com/maps/d/edit?mid=1SWRcaCf_6886mFnPLMbf8Tb2W-1KAiM&ll=sharing,0.010523746,0,0,,
7,100501,Alabama,1,501,Marshall & Madison (Far Southeast) Counties PUMA,https://www.google.com/maps/d/edit?mid=1fl8DO3P9WpqZdWGu8iNgPvqE4qkrPQU&ll=sharing,0.010301816,0,0,,
8,100600,Alabama,1,600,DeKalb & Jackson Counties PUMA,https://www.google.com/maps/d/edit?mid=1yC1x0uTlCYST79j4HY-bIgKGOirPYuE&ll=sharing,0.011281156,0,0,,
9,100700,Alabama,1,700,Etowah & Cherokee Counties PUMA,https://www.google.com/maps/d/edit?mid=19_iElYxJURINXOIQhDn6C3tuMWayBWw&ll=sharing,0.007327262,0,0,,
10,100800,Alabama,1,800,Calhoun County PUMA,https://www.google.com/maps/d/edit?mid=1HnX2X-3NC2i0YUAfBClI8Sb8SItn6no&ll=sharing,0.010589844,0,0,,
11,100900,Alabama,1,900,St. Clair & Blount Counties PUMA,https://www.google.com/maps/d/edit?mid=1_zlpJuUoZWGxujsjVBjKRBy6iF85mik&ll=sharing,0.008072285,0,0,,
12,101000,Alabama,1,1000,"Cullman, Marion & Winston Counties PUMA",https://www.google.com/maps/d/edit?mid=1-Ii-YTsRS45hrQOrlw8WEM1OLLZaYzE&ll=sharing,0.009510440,0,0,,
13,101100,Alabama,1,1100,West Alabama PUMA,https://www.google.com/maps/d/edit?mid=1NZ31hUZ9ezqTuhrpCJoaLZBDZdOvuO4&ll=sharing,0.009562450,0,0,,
14,101201,Alabama,1,1201,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,https://www.google.com/maps/d/edit?mid=1vzTRv6vSY5OmRqF_JAV6t-sLraAweFs&ll=sharing,0.010941535,0,0,,
15,101202,Alabama,1,1202,Tuscaloosa & Northport (Southeast) Cities PUMA,https://www.google.com/maps/d/edit?mid=1SFba2upE-EZ_0mBB8A3c6vtva6X-gvQ&ll=sharing,0.010241407,0,0,,
16,101301,Alabama,1,1301,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",https://www.google.com/maps/d/edit?mid=1klcarBNW8KiBwcHyDQoDfaacvel-Kic&ll=sharing,0.008892896,0,0,,
17,101401,Alabama,1,1401,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",https://www.google.com/maps/d/edit?mid=1TxA5dGjD3EctC0Q1pqO2YrYBkGzNLKY&ll=sharing,0.009450545,0,0,,
18,101402,Alabama,1,1402,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",https://www.google.com/maps/d/edit?mid=1-wiUlff8xOL0EzR5__o7YybjH2dsKqg&ll=sharing,0.009466203,0,0,,
19,101403,Alabama,1,1403,Birmingham City PUMA,https://www.google.com/maps/d/edit?mid=1MNrBXJUqFsBGjuFg9kxRwcJDUlIKnks&ll=sharing,0.010823459,0,0,,
20,101404,Alabama,1,1404,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",https://www.google.com/maps/d/edit?mid=14Qt2jMDM172NkfDzIwXeBSwPDiXzVIs&ll=sharing,0.009064908,0,0,,
